target,rank,feature,importance
wheel_translation_reliable,1,wheel_lidar_vx_residual_abs_max,0.1597614141946203
wheel_translation_reliable,2,wheel_lidar_vx_residual_abs_mean,0.13773049620362487
wheel_translation_reliable,3,wheel_lidar_vx_normalized_residual_abs_max,0.11506308744185675
wheel_translation_reliable,4,wheel_lidar_vx_normalized_residual_abs_mean,0.09932523574775214
wheel_translation_reliable,5,wheel_lidar_vx_normalized_residual_std,0.06810347519017979
wheel_translation_reliable,6,wheel_lidar_vx_residual_persistence,0.0670153116640549
wheel_translation_reliable,7,wheel_lidar_vx_residual_std,0.05385954885245188
wheel_translation_reliable,8,imu_horizontal_accel_rms,0.04354097776985867
wheel_translation_reliable,9,imu_horizontal_accel_std,0.028053212723802092
wheel_translation_reliable,10,wheel_lidar_vx_normalized_residual_mean,0.021482481260484212
wheel_translation_reliable,11,wheel_lidar_vx_residual_mean,0.017160957744531715
wheel_translation_reliable,12,wheel_lidar_vx_normalized_residual_persistence,0.01623047141978585
wheel_translation_reliable,13,wheel_imu_yaw_residual_abs_mean,0.015024895970883636
wheel_translation_reliable,14,icp_observability_min,0.011337393905799747
wheel_translation_reliable,15,icp_observability_mean,0.010968377489323108
wheel_translation_reliable,16,wheel_imu_yaw_residual_abs_max,0.01083371699012218
wheel_translation_reliable,17,lidar_vx_abs_mean,0.00940604785173985
wheel_translation_reliable,18,wheel_imu_yaw_residual_std,0.009388845363258236
wheel_translation_reliable,19,wheel_imu_yaw_residual_persistence,0.008668005903925117
wheel_translation_reliable,20,wheel_lidar_yaw_residual_abs_mean,0.008365079858133532
wheel_translation_reliable,21,imu_roll_pitch_gyro_energy,0.007883507579263156
wheel_translation_reliable,22,wheel_lidar_yaw_residual_abs_max,0.0066151360987597154
wheel_translation_reliable,23,icp_rmse_mean,0.006244144456290253
wheel_translation_reliable,24,wheel_vx_abs_mean,0.005931856874275518
wheel_translation_reliable,25,wheel_lidar_yaw_residual_std,0.005025593641637106
wheel_translation_reliable,26,imu_yaw_rate_abs_mean,0.004714989161082849
wheel_translation_reliable,27,wheel_lidar_yaw_residual_mean,0.004516191916591044
wheel_translation_reliable,28,imu_horizontal_accel_mad,0.004022167206087087
wheel_translation_reliable,29,wheel_imu_yaw_residual_mean,0.004005561722845538
wheel_translation_reliable,30,icp_rmse_max,0.003808915022292107
wheel_translation_reliable,31,imu_lidar_yaw_residual_abs_max,0.0036382323859239117
wheel_translation_reliable,32,imu_lidar_yaw_residual_mean,0.0035341741737041485
wheel_translation_reliable,33,lidar_yaw_rate_abs_mean,0.0033052280106255225
wheel_translation_reliable,34,wheel_lidar_yaw_residual_persistence,0.0031289522844556946
wheel_translation_reliable,35,icp_inlier_ratio_min,0.00311106498918587
wheel_translation_reliable,36,icp_inlier_ratio_mean,0.003095139390192824
wheel_translation_reliable,37,imu_lidar_yaw_residual_abs_mean,0.003033828174411785
wheel_translation_reliable,38,wheel_yaw_rate_abs_mean,0.00301641691801637
wheel_translation_reliable,39,imu_lidar_yaw_residual_std,0.0030059696380062605
wheel_translation_reliable,40,icp_observability_std,0.002719584392011478
wheel_translation_reliable,41,icp_inlier_ratio_std,0.0020565191747330667
wheel_translation_reliable,42,icp_rmse_std,0.0020177990482846413
wheel_translation_reliable,43,imu_lidar_yaw_residual_persistence,0.0002499941951354416
wheel_translation_reliable,44,icp_valid_fraction,2.5233682758117487e-17
wheel_rotation_reliable,1,wheel_lidar_yaw_residual_abs_mean,0.12686343637590466
wheel_rotation_reliable,2,wheel_lidar_yaw_residual_abs_max,0.12571177837574118
wheel_rotation_reliable,3,wheel_lidar_yaw_residual_persistence,0.1241415308967121
wheel_rotation_reliable,4,wheel_imu_yaw_residual_abs_max,0.10325089357167086
wheel_rotation_reliable,5,wheel_imu_yaw_residual_abs_mean,0.08802672924390462
wheel_rotation_reliable,6,wheel_imu_yaw_residual_persistence,0.08794071784915386
wheel_rotation_reliable,7,wheel_lidar_yaw_residual_std,0.06345300624353596
wheel_rotation_reliable,8,wheel_imu_yaw_residual_std,0.06304475494389791
wheel_rotation_reliable,9,imu_horizontal_accel_rms,0.02994288220694338
wheel_rotation_reliable,10,imu_horizontal_accel_mad,0.019698952119458542
wheel_rotation_reliable,11,wheel_yaw_rate_abs_mean,0.018909036076897874
wheel_rotation_reliable,12,imu_horizontal_accel_std,0.01790838640999953
wheel_rotation_reliable,13,wheel_imu_yaw_residual_mean,0.014930573694365623
wheel_rotation_reliable,14,imu_lidar_yaw_residual_abs_max,0.013152735305408843
wheel_rotation_reliable,15,wheel_lidar_yaw_residual_mean,0.012386209038864388
wheel_rotation_reliable,16,imu_lidar_yaw_residual_abs_mean,0.011177239632948767
wheel_rotation_reliable,17,wheel_lidar_vx_normalized_residual_abs_max,0.007574771987743227
wheel_rotation_reliable,18,imu_lidar_yaw_residual_mean,0.0068389369559267174
wheel_rotation_reliable,19,imu_lidar_yaw_residual_std,0.006608210652684952
wheel_rotation_reliable,20,wheel_lidar_vx_residual_abs_max,0.005940615680235989
wheel_rotation_reliable,21,icp_inlier_ratio_mean,0.005268306427091022
wheel_rotation_reliable,22,wheel_lidar_vx_normalized_residual_abs_mean,0.00436862692955089
wheel_rotation_reliable,23,wheel_lidar_vx_residual_abs_mean,0.004305990484632633
wheel_rotation_reliable,24,imu_yaw_rate_abs_mean,0.004263555874692555
wheel_rotation_reliable,25,icp_inlier_ratio_min,0.003584627116547687
wheel_rotation_reliable,26,icp_observability_min,0.003308682580261238
wheel_rotation_reliable,27,icp_observability_mean,0.0030103534784111843
wheel_rotation_reliable,28,wheel_lidar_vx_normalized_residual_std,0.0027361114349847247
wheel_rotation_reliable,29,wheel_lidar_vx_normalized_residual_mean,0.002692030499337471
wheel_rotation_reliable,30,lidar_yaw_rate_abs_mean,0.002256649891089401
wheel_rotation_reliable,31,wheel_lidar_vx_residual_mean,0.0021068795546750054
wheel_rotation_reliable,32,icp_inlier_ratio_std,0.0018703629403349557
wheel_rotation_reliable,33,icp_rmse_mean,0.0017996049964680368
