window_id,run_id,split,window_start_sec,window_end_sec,wheel_translation_reliable_true,wheel_translation_reliable_predicted,wheel_translation_reliable_probability_unreliable,wheel_translation_reliable_probability_reliable,wheel_rotation_reliable_true,wheel_rotation_reliable_predicted,wheel_rotation_reliable_probability_unreliable,wheel_rotation_reliable_probability_reliable,imu_yaw_rate_reliable_true,imu_yaw_rate_reliable_predicted,imu_yaw_rate_reliable_probability_unreliable,imu_yaw_rate_reliable_probability_reliable
00_normal_p2l_v2:0000,00_normal_p2l_v2,validation,19.99,20.389999999999997,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0001,00_normal_p2l_v2,validation,20.189999999999998,20.589999999999996,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0002,00_normal_p2l_v2,validation,20.389999999999997,20.789999999999996,1,1,0.0018989898989898992,0.9981010101010102,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0003,00_normal_p2l_v2,validation,20.589999999999996,20.989999999999995,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0004,00_normal_p2l_v2,validation,20.789999999999996,21.189999999999994,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0005,00_normal_p2l_v2,validation,20.989999999999995,21.389999999999993,1,1,0.00175,0.99825,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0006,00_normal_p2l_v2,validation,21.189999999999994,21.589999999999993,1,1,0.00175,0.99825,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0007,00_normal_p2l_v2,validation,21.389999999999993,21.789999999999992,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0008,00_normal_p2l_v2,validation,21.589999999999993,21.98999999999999,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0009,00_normal_p2l_v2,validation,21.789999999999992,22.18999999999999,1,1,0.00526620243032183,0.9947337975696783,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0010,00_normal_p2l_v2,validation,21.98999999999999,22.38999999999999,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0011,00_normal_p2l_v2,validation,22.18999999999999,22.58999999999999,1,1,0.0,1.0,1,1,0.0017620192307692308,0.9982379807692308,1,1,0.0,1.0
00_normal_p2l_v2:0012,00_normal_p2l_v2,validation,22.38999999999999,22.78999999999999,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0013,00_normal_p2l_v2,validation,22.58999999999999,22.989999999999988,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0014,00_normal_p2l_v2,validation,22.78999999999999,23.189999999999987,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0015,00_normal_p2l_v2,validation,22.989999999999988,23.389999999999986,1,1,0.010801288461538461,0.9891987115384616,1,1,0.0017283653846153846,0.9982716346153846,1,1,0.0,1.0
00_normal_p2l_v2:0016,00_normal_p2l_v2,validation,23.189999999999987,23.589999999999986,1,1,0.003528433000942878,0.9964715669990571,1,1,0.0017283653846153846,0.9982716346153846,1,1,0.0,1.0
00_normal_p2l_v2:0017,00_normal_p2l_v2,validation,23.389999999999986,23.789999999999985,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0018,00_normal_p2l_v2,validation,23.589999999999986,23.989999999999984,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0019,00_normal_p2l_v2,validation,23.789999999999985,24.189999999999984,1,1,0.018763872937808814,0.9812361270621911,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0020,00_normal_p2l_v2,validation,23.989999999999984,24.389999999999983,1,1,0.0017980769230769229,0.9982019230769231,1,1,0.0017427884615384616,0.9982572115384616,1,1,0.0,1.0
00_normal_p2l_v2:0021,00_normal_p2l_v2,validation,24.189999999999984,24.589999999999982,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0022,00_normal_p2l_v2,validation,24.389999999999983,24.78999999999998,1,1,0.0035082186430590687,0.9964917813569409,1,1,0.0,1.0,1,1,0.0,1.0
00_normal_p2l_v2:0023,00_normal_p2l_v2,validation,24.589999999999982,24.98999999999998,1,1,0.008881950827963574,0.9911180491720364,1,1,0.001477533960292581,0.9985224660397074,1,1,0.0,1.0
