target,split,window_count,unreliable_support,reliable_support,accuracy,balanced_accuracy,unreliable_precision,unreliable_recall,unreliable_f1,reliable_precision,reliable_recall,reliable_f1,macro_f1,roc_auc_reliable,average_precision_unreliable,brier_score_reliable
wheel_translation_reliable,train,832,88,744,0.9783653846153846,0.9879032258064516,0.8301886792452831,1.0,0.9072164948453608,1.0,0.9758064516129032,0.9877551020408163,0.9474857984430886,1.0,0.9999999999999999,0.004777418393251325
wheel_translation_reliable,validation,351,23,328,0.9572649572649573,0.9771341463414633,0.6052631578947368,1.0,0.7540983606557377,1.0,0.9542682926829268,0.9765990639625585,0.8653487123091481,0.9945652173913044,0.9324395685982474,0.01632389638139597
wheel_translation_reliable,test,312,34,278,0.9358974358974359,0.912399492170969,0.6521739130434783,0.8823529411764706,0.75,0.9849624060150376,0.9424460431654677,0.9632352941176471,0.8566176470588236,0.9757723233178164,0.8760745273792435,0.03793546291372028
wheel_rotation_reliable,train,832,110,722,0.9903846153846154,0.9944598337950139,0.9322033898305084,1.0,0.9649122807017544,1.0,0.9889196675900277,0.9944289693593314,0.9796706250305429,1.0,0.9999999999999998,0.0034507960615762093
wheel_rotation_reliable,validation,351,24,327,0.9572649572649573,0.9770642201834863,0.6153846153846154,1.0,0.7619047619047619,1.0,0.9541284403669725,0.9765258215962441,0.8692152917505029,0.9928644240570845,0.9183719693030753,0.020221427410811767
wheel_rotation_reliable,test,312,38,274,0.9583333333333334,0.9649442950441798,0.7551020408163265,0.9736842105263158,0.8505747126436781,0.9961977186311787,0.9562043795620438,0.9757914338919925,0.9131830732678353,0.9955820207452939,0.9836168164313221,0.015558133848654657
imu_yaw_rate_reliable,train,832,16,816,0.9987980769230769,0.9993872549019608,0.9411764705882353,1.0,0.9696969696969697,1.0,0.9987745098039216,0.9993868792152054,0.9845419244560876,1.0,1.0,5.922107027692822e-05
imu_yaw_rate_reliable,validation,351,10,341,0.9829059829059829,0.8941348973607038,0.6666666666666666,0.8,0.7272727272727273,0.9941002949852508,0.9882697947214076,0.9911764705882353,0.8592245989304813,0.9903225806451612,0.7376965140123035,0.018189058743541146
imu_yaw_rate_reliable,test,312,4,308,0.9839743589743589,0.9918831168831168,0.4444444444444444,1.0,0.6153846153846154,1.0,0.9837662337662337,0.9918166939443536,0.8036006546644845,0.9935064935064934,0.5595238095238095,0.009232758916638958
