window_id,run_id,window_start_sec,window_end_sec,wheel_lidar_vx_residual_mean,wheel_lidar_vx_residual_abs_mean,wheel_lidar_vx_residual_abs_max,wheel_lidar_vx_residual_std,wheel_lidar_vx_residual_persistence,wheel_lidar_vx_normalized_residual_mean,wheel_lidar_vx_normalized_residual_abs_mean,wheel_lidar_vx_normalized_residual_abs_max,wheel_lidar_vx_normalized_residual_std,wheel_lidar_vx_normalized_residual_persistence,wheel_imu_yaw_residual_mean,wheel_imu_yaw_residual_abs_mean,wheel_imu_yaw_residual_abs_max,wheel_imu_yaw_residual_std,wheel_imu_yaw_residual_persistence,wheel_lidar_yaw_residual_mean,wheel_lidar_yaw_residual_abs_mean,wheel_lidar_yaw_residual_abs_max,wheel_lidar_yaw_residual_std,wheel_lidar_yaw_residual_persistence,imu_lidar_yaw_residual_mean,imu_lidar_yaw_residual_abs_mean,imu_lidar_yaw_residual_abs_max,imu_lidar_yaw_residual_std,imu_lidar_yaw_residual_persistence,wheel_vx_abs_mean,wheel_yaw_rate_abs_mean,imu_yaw_rate_abs_mean,lidar_vx_abs_mean,lidar_yaw_rate_abs_mean,imu_horizontal_accel_rms,imu_horizontal_accel_std,imu_horizontal_accel_mad,imu_roll_pitch_gyro_energy,icp_valid_fraction,icp_rmse_mean,icp_rmse_max,icp_rmse_std,icp_inlier_ratio_mean,icp_inlier_ratio_min,icp_inlier_ratio_std,icp_observability_mean,icp_observability_min,icp_observability_std,wheel_translation_reliable,wheel_rotation_reliable,imu_yaw_rate_reliable,lidar_translation_reliable
10_external_impact_neg_x12N_p2l_v2:0028,10_external_impact_neg_x12N_p2l_v2,17.64699999999998,18.04699999999998,0.03968483113029398,0.04644089745577638,0.17364105009582775,0.06324677880285112,0.16666666666666666,0.5096854120932971,0.59791693464336,2.2638081109504906,0.8256659172540572,0.0,0.001939069083227097,0.0020706127423078488,0.024583111933576433,0.005887655342123979,0.0,0.0042937515184209045,0.0060718247169222195,0.011093690478396239,0.005270677142851518,0.0,0.0006292798483299784,0.005883990450541734,0.010815058903977577,0.006591252473378017,0.0,0.10799999998666987,7.54382311604273e-12,0.002526199855644557,0.07547175352458824,0.006071824727801457,1.989758226562158,1.8309493354496198,0.006467555114421355,8.21809774510928e-06,1.0,0.00399709093396479,0.004417345843529183,0.00020542857846252372,0.687962962962963,0.6833333333333333,0.003817690394090413,0.5454367023974037,0.5255131715303799,0.009660596011733294,1,1,1,1
10_external_impact_neg_x12N_p2l_v2:0029,10_external_impact_neg_x12N_p2l_v2,17.84699999999998,18.24699999999998,0.042329659061162046,0.04725853992964119,0.17364105009582775,0.061687505073845246,0.16666666666666666,0.547733055616762,0.607947815043303,2.2638081109504906,0.8029218041752537,0.0,0.0020347494610831497,0.0020824275669295684,0.024583111933576433,0.005856043817636371,0.0,0.0035225062903727045,0.00625047530717857,0.011093690478396239,0.006022047728946392,0.0,-0.0002600728549117895,0.006206687285516766,0.010815058903977577,0.006842678052476949,0.0,0.2579999999539412,1.3985963384572808e-11,0.00253859917907711,0.21954113352139348,0.006250475317292513,1.989751069649623,1.8312748473385971,0.0048961251653273415,8.22606379295942e-06,1.0,0.003941132694116904,0.004417345843529183,0.0003548219446381997,0.6759259259259259,0.65,0.013857990321384966,0.5277349741553204,0.5047263531918942,0.016394793547118466,1,1,1,1
10_external_impact_neg_x12N_p2l_v2:0030,10_external_impact_neg_x12N_p2l_v2,18.04699999999998,18.446999999999978,-0.0015677642093499349,0.018701760192552114,0.04602193060026871,0.022773873586273002,0.0,-0.013485810929151298,0.24138419811519488,0.5839657488534157,0.2922022447638586,0.0,0.0040701946263316776,0.004089499743230937,0.03966250212468308,0.010298387628853293,0.0,0.0027222585726973396,0.0055810906230290315,0.01638622249215791,0.007158841175028701,0.0,-0.002411594359148906,0.008834620551126089,0.02463392174594629,0.012192602803893386,0.0,0.2999999999462932,1.5822101463760563e-11,0.0036401702030244855,0.30156776415289804,0.005581090620214095,0.49524907214849956,0.4652382648251096,0.0037010539207509817,7.381966517614002e-08,1.0,0.0038256481190250395,0.00427741399209504,0.0003034847756549179,0.6675925925925927,0.65,0.011748682907823637,0.5242302216036324,0.5047263531918942,0.013683114670414318,1,1,1,1
10_external_impact_neg_x12N_p2l_v2:0031,10_external_impact_neg_x12N_p2l_v2,18.24699999999998,18.646999999999977,0.002289741441478759,0.025429411175752634,0.05200025723223892,0.03058563880597532,0.0,0.029286724157303507,0.32601780934936203,0.6518831617192802,0.38848329282350413,0.0,0.004094224291405583,0.004097797253838281,0.03966250212468308,0.010289354918311538,0.0,0.004431844064306239,0.006729377489461878,0.01638622249215791,0.007602978130421961,0.0,-0.0007176094065202056,0.009894724556884761,0.02463392174594629,0.013095238039767369,0.0,0.2999999999746311,1.962817373023193e-11,0.0036338561855255394,0.29771025853135435,0.006729377483996164,0.4952682613751393,0.46512360427172095,0.0056736741446782035,8.579128577193697e-08,1.0,0.0038766166896275927,0.004102174605219582,0.00015854949376481174,0.6666666666666666,0.6555555555555556,0.009622504486493771,0.5317412956177292,0.5211559302466507,0.00671256112331294,1,1,1,1
10_external_impact_neg_x12N_p2l_v2:0032,10_external_impact_neg_x12N_p2l_v2,18.446999999999978,18.846999999999976,0.007265081029719784,0.024882779448076407,0.05200025723223892,0.028901664390062663,0.0,0.09126929031905001,0.32517474929193274,0.6518831617192802,0.3767253191418901,0.0,0.0002477528921435306,0.00026569325701808147,0.0006694944763018583,0.00022576760756570235,0.0,0.002229467067391656,0.007158438359951701,0.016554952614086512,0.008802512523852677,0.0,0.002052987607897912,0.007132753940538761,0.016346122515396334,0.008728543254385582,0.0,0.2999999999912184,2.0496425070002885e-11,0.0002559794668176136,0.29273491896149856,0.007158438353119558,0.013251619276608985,0.005997098852206499,0.004990657063813169,7.218995301892067e-08,1.0,0.0038408095150164853,0.004127138855224827,0.00021412837394545672,0.6574074074074073,0.65,0.00692899516069246,0.5296699009474567,0.5246430781105321,0.005114730828554928,1,1,1,1
10_external_impact_neg_x12N_p2l_v2:0033,10_external_impact_neg_x12N_p2l_v2,18.646999999999977,19.046999999999976,0.007985600540263676,0.01804300939407308,0.03767712360819597,0.021999225060782966,0.0,0.10933103092569947,0.24425616086109822,0.5129394387318683,0.2992761755491543,0.0,0.0002498201092365887,0.0002641875116784409,0.0006694944763018583,0.00022505155225347479,0.0,0.002959789898881269,0.005722090799811501,0.016554952614086512,0.007249369291675233,0.0,0.0027589213643966297,0.005610828138138144,0.016346122515396334,0.007232682325001515,0.0,0.2999999999912184,2.0496425070002885e-11,0.00027249040199490754,0.29201439945095475,0.0057220908066436425,0.013655417009317916,0.006547315975512277,0.005256370729290794,6.982157316685002e-08,1.0,0.0037463505800747108,0.004127138855224827,0.00022783307574685224,0.6564814814814814,0.65,0.004986263710309708,0.5208289128050666,0.5083905882209866,0.007538173482375726,1,1,1,1
10_external_impact_neg_x12N_p2l_v2:0034,10_external_impact_neg_x12N_p2l_v2,18.846999999999976,19.246999999999975,0.005438019845802315,0.016711401270095905,0.03280575774583405,0.02002729710902827,0.0,0.07313062397032856,0.2248759149204874,0.4307069984257226,0.2700084604085719,0.0,0.00025029781846487814,0.00025939768685408714,0.0006811377997218771,0.00020782330241713348,0.0,0.001362202166113198,0.0030086700459720367,0.004711310206377638,0.0029803175593029084,0.0,0.0010465114158941468,0.0029324704113066554,0.00455450979341007,0.003033009321048592,0.0,0.2999999999912184,2.0496425070002885e-11,0.00027745033186229784,0.29456198014541607,0.0030086700528041787,0.013336733403637682,0.005931742773855003,0.005183635130646028,6.985917226793408e-08,1.0,0.0037095245613973458,0.003907842649191198,0.00020706815213795558,0.6685185185185186,0.6611111111111111,0.00763538078818088,0.5127125133510105,0.4988238039116585,0.007371337616178061,1,1,1,1
10_external_impact_neg_x12N_p2l_v2:0035,10_external_impact_neg_x12N_p2l_v2,19.046999999999976,19.446999999999974,0.01624579065827855,0.02728043544626839,0.05870421200885009,0.026637059825148246,0.0,0.21619297178608066,0.36484275619947004,0.7886842098670315,0.35744894719215436,0.0,0.000203567181209721,0.0002160748193851046,0.0006811377997218771,0.0002004110165507916,0.0,0.0017046391405240186,0.004695982939379512,0.009467538357835172,0.005020319249414893,0.0,0.0014300681786274434,0.004682479842422311,0.009234506368922259,0.005017558767486527,0.0,0.29999999999118176,2.0308541173527862e-11,0.00024415820273480926,0.28375420933290785,0.0046959829393671765,0.013307961628240812,0.004812407169133662,0.0031615040471677687,7.551682686870576e-08,1.0,0.003680664416170886,0.003974875484678475,0.00023372404200981169,0.6768518518518519,0.6722222222222223,0.002070433312499798,0.5140056144282986,0.4988238039116585,0.009849886151814565,1,1,1,1
10_external_impact_neg_x12N_p2l_v2:0036,10_external_impact_neg_x12N_p2l_v2,19.246999999999975,19.646999999999974,0.020234158825803265,0.02557961169393118,0.05870421200885009,0.02420811068251058,0.0,0.2706822073463905,0.34014866047505915,0.7886842098670315,0.32219998955695484,0.0,0.00014089193381506323,0.00016533240697848154,0.0005240087865999478,0.00015520152858944218,0.0,0.0016376155775007087,0.004345831987755229,0.009467538357835172,0.00494955265072486,0.0,0.001467213017137054,0.004290716145097333,0.009234506368922259,0.004933401353009228,0.0,0.29999999999113736,2.0080803117194495e-11,0.00020575399435856452,0.2797658411653387,0.0043458319944991225,0.012755748424892212,0.005044539853717869,0.003793169190052158,8.68996355614267e-08,1.0,0.003759181796302292,0.003974875484678475,0.00020385833546310707,0.6731481481481482,0.6611111111111111,0.008735167714867246,0.5215193467337907,0.5031499424874036,0.008432707886647803,1,1,1,1
10_external_impact_neg_x12N_p2l_v2:0037,10_external_impact_neg_x12N_p2l_v2,19.446999999999974,19.846999999999973,0.006302770393387437,0.02249242350789374,0.039668390991396574,0.02477669354436634,0.0,0.08926095938168833,0.2972624733847065,0.5200924179334194,0.325188626546208,0.0,0.00019528550228610917,0.00021631820566335295,0.0005240087865999478,0.00015809688732454187,0.0,-0.0001924950706736388,0.0035425900168885023,0.007115233788912828,0.004222645203589205,0.0,-0.0004121416583326161,0.003511155703283286,0.007398740706113945,0.004234768279118007,0.0,0.2999999999911296,2.0040948957336158e-11,0.00024237336707177466,0.2936972295977421,0.0035425900235688187,0.013067234617112978,0.0055100825773263026,0.0031525386602913484,6.664446816908408e-08,1.0,0.003767534075891398,0.003975036989658619,0.0001925953722492845,0.6740740740740742,0.6611111111111111,0.009972527420619465,0.5238266173516534,0.5049683100644954,0.008807926370701685,1,1,1,1
