window_id,run_id,window_start_sec,window_end_sec,wheel_translation_sample_count,wheel_translation_availability_fraction,wheel_translation_error_abs_mean,wheel_translation_error_abs_p90,wheel_translation_error_rmse,wheel_translation_within_tolerance_fraction,wheel_translation_tolerance,wheel_rotation_sample_count,wheel_rotation_availability_fraction,wheel_rotation_error_abs_mean,wheel_rotation_error_abs_p90,wheel_rotation_error_rmse,wheel_rotation_within_tolerance_fraction,wheel_rotation_tolerance,imu_yaw_rate_sample_count,imu_yaw_rate_availability_fraction,imu_yaw_rate_error_abs_mean,imu_yaw_rate_error_abs_p90,imu_yaw_rate_error_rmse,imu_yaw_rate_within_tolerance_fraction,imu_yaw_rate_tolerance,lidar_translation_sample_count,lidar_translation_availability_fraction,lidar_translation_error_abs_mean,lidar_translation_error_abs_p90,lidar_translation_error_rmse,lidar_translation_within_tolerance_fraction,lidar_translation_tolerance
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0010,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,13.555999999999994,13.955999999999994,20.0,1.0,0.0023738743127106306,0.005902912271295968,0.00373336557652359,1.0,0.06,20.0,1.0,6.660914066092002e-16,7.398475440687188e-16,6.679470956016942e-16,1.0,0.08,40.0,1.0,0.0001779196041699842,0.0003286789745748203,0.000229662618957003,1.0,0.08,6.0,1.0,0.019707206427644414,0.03593658862240892,0.02470827870749437,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0011,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,13.755999999999993,14.155999999999993,20.0,1.0,0.0023738743127138737,0.005902912271295968,0.0037333655765234594,1.0,0.06,20.0,1.0,7.497952512967937e-16,8.089183739080808e-16,7.513609920589506e-16,1.0,0.08,40.0,1.0,0.00015027356598079953,0.0002778860905584674,0.00018716639027774564,1.0,0.08,6.0,1.0,0.03007026287636552,0.0518548873579108,0.03471857783457259,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0012,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,13.955999999999992,14.355999999999993,20.0,1.0,0.0023738743127138862,0.005902912271295973,0.003733365576523464,1.0,0.06,20.0,1.0,8.28565114273512e-16,8.916228183895266e-16,8.299003237685202e-16,1.0,0.08,40.0,1.0,0.00014302819969815088,0.000284841030177946,0.00016963424894765827,1.0,0.08,6.0,1.0,0.0339655846933107,0.06307776803220362,0.03993587405405327,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0013,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,14.155999999999992,14.555999999999992,20.0,1.0,0.002373874312713899,0.005902912271296024,0.0037333655765234663,1.0,0.06,20.0,1.0,9.1897456032897e-16,1.004173413211115e-15,9.212887748740777e-16,1.0,0.08,40.0,1.0,0.00017723505887507024,0.00030081348908066955,0.00019997912000575195,1.0,0.08,6.0,1.0,0.023549327481964016,0.04534306882411522,0.031129239093826307,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0014,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,14.355999999999991,14.755999999999991,20.0,1.0,0.0023738743127138862,0.005902912271296107,0.003733365576523462,1.0,0.06,20.0,1.0,1.032367516244173e-15,1.1232208724995977e-15,1.0348028500250892e-15,1.0,0.08,40.0,1.0,0.00016502488877823758,0.0003023073350232191,0.00019376803103260097,1.0,0.08,6.0,1.0,0.030200433794250633,0.0654104225873352,0.04170952408319566,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0015,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,14.55599999999999,14.95599999999999,20.0,1.0,0.002373874312714039,0.005902912271296107,0.0037333655765236047,1.0,0.06,20.0,1.0,1.1584216617688022e-15,1.2631738525293528e-15,1.1609260207943193e-15,1.0,0.08,40.0,1.0,0.0001484048843399601,0.00031858831847255835,0.00019362477383571858,1.0,0.08,6.0,1.0,0.030062118872932836,0.0654104225873352,0.04142150036124804,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0016,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,14.75599999999999,15.15599999999999,20.0,1.0,0.002373874312714164,0.005902912271295982,0.0037333655765234633,1.0,0.06,20.0,1.0,1.2886142332967356e-15,1.3983541505371253e-15,1.2909661420438655e-15,1.0,0.08,40.0,1.0,0.00014546368926220935,0.0003530052687132658,0.00019363335872426153,1.0,0.08,6.0,1.0,0.0181723523903093,0.03141001782353241,0.021429540439782183,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0017,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,14.955999999999989,15.35599999999999,20.0,1.0,0.002373874312714179,0.005902912271295968,0.0037333655765234633,1.0,0.06,20.0,1.0,1.4377126188157212e-15,1.5538108242028745e-15,1.4411014414097373e-15,1.0,0.08,40.0,1.0,0.00012975817359543333,0.0003032089997920321,0.00017135857155271288,1.0,0.08,6.0,1.0,0.020934776976492056,0.03631494861021742,0.024647621189922687,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0018,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,15.155999999999988,15.555999999999989,20.0,1.0,0.0023738743127139305,0.005902912271295968,0.003733365576523477,1.0,0.06,20.0,1.0,1.6090779905849949e-15,1.7509531752220227e-15,1.612494056474408e-15,1.0,0.08,40.0,1.0,0.0001380996572414285,0.0002840271098363265,0.00017855946773151222,1.0,0.08,6.0,1.0,0.017934953604042864,0.03699289831696735,0.02304244684163664,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0019,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,15.355999999999987,15.755999999999988,20.0,1.0,0.002373874312713735,0.005902912271295987,0.003733365576523526,1.0,0.06,20.0,1.0,1.796123658475233e-15,1.932617007706753e-15,1.799917599564233e-15,1.0,0.08,40.0,1.0,0.0001544183322738909,0.00032490854926248554,0.0001967568096443351,1.0,0.08,6.0,1.0,0.018476492938562007,0.03707926279950498,0.02303704714353286,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0020,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,15.555999999999987,15.955999999999987,20.0,1.0,0.002373874312713853,0.005902912271295987,0.003733365576523654,1.0,0.06,20.0,1.0,1.9968378301666184e-15,2.181417411599807e-15,2.0005109627499988e-15,1.0,0.08,40.0,1.0,0.00013460867820915324,0.0002902698361095967,0.00017409689455690145,1.0,0.08,6.0,1.0,0.019448895508446428,0.03032080787366298,0.02168563463809999,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0021,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,15.755999999999986,16.155999999999985,20.0,1.0,0.0014916148230690236,0.0059029122712958935,0.0029515131440176795,1.0,0.06,20.0,1.0,2.2382553066840333e-15,2.4554650723653917e-15,2.244292425053432e-15,1.0,0.08,40.0,1.0,0.00014556943346576587,0.00024830510053650495,0.00017693645919180506,1.0,0.08,6.0,1.0,0.014395591524769777,0.022870426425260826,0.01652760993346046,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0022,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,15.955999999999985,16.355999999999984,20.0,1.0,0.0003152688368752224,2.1182340327913218e-05,0.001320092769881824,1.0,0.06,20.0,1.0,2.519530499882785e-15,2.730237168225673e-15,2.5247790224026843e-15,1.0,0.08,40.0,1.0,0.00017669940516943885,0.00032299581514159595,0.0002100357591073684,1.0,0.08,6.0,1.0,0.012239634729503823,0.024925597367949345,0.017385769200436784,1.0,0.12
