window_id,run_id,window_start_sec,window_end_sec,wheel_translation_sample_count,wheel_translation_availability_fraction,wheel_translation_error_abs_mean,wheel_translation_error_abs_p90,wheel_translation_error_rmse,wheel_translation_within_tolerance_fraction,wheel_translation_tolerance,wheel_rotation_sample_count,wheel_rotation_availability_fraction,wheel_rotation_error_abs_mean,wheel_rotation_error_abs_p90,wheel_rotation_error_rmse,wheel_rotation_within_tolerance_fraction,wheel_rotation_tolerance,imu_yaw_rate_sample_count,imu_yaw_rate_availability_fraction,imu_yaw_rate_error_abs_mean,imu_yaw_rate_error_abs_p90,imu_yaw_rate_error_rmse,imu_yaw_rate_within_tolerance_fraction,imu_yaw_rate_tolerance,lidar_translation_sample_count,lidar_translation_availability_fraction,lidar_translation_error_abs_mean,lidar_translation_error_abs_p90,lidar_translation_error_rmse,lidar_translation_within_tolerance_fraction,lidar_translation_tolerance
00_normal_p2l_v2:0010,00_normal_p2l_v2,21.98999999999999,22.38999999999999,20.0,1.0,2.647434049763975e-05,2.647434049835029e-05,2.647434049763975e-05,1.0,0.06,20.0,1.0,7.3658659831829e-15,8.151246374523025e-15,7.388921693400405e-15,1.0,0.08,40.0,1.0,0.00015778119470566371,0.0002852773811281215,0.00020050695669807447,1.0,0.08,6.0,1.0,0.020065009295795203,0.0384044249789918,0.025713940669013353,1.0,0.12
00_normal_p2l_v2:0011,00_normal_p2l_v2,22.18999999999999,22.58999999999999,20.0,1.0,2.6474340497557868e-05,2.647434049835029e-05,2.647434049755787e-05,1.0,0.06,20.0,1.0,8.456341571866634e-15,9.368175698702922e-15,8.483471739428968e-15,1.0,0.08,40.0,1.0,0.0001474498651858532,0.0002641500881278678,0.0001740137666765484,1.0,0.08,6.0,1.0,0.0192693803338931,0.03182396459925059,0.02204482346906244,1.0,0.12
00_normal_p2l_v2:0012,00_normal_p2l_v2,22.38999999999999,22.78999999999999,20.0,1.0,2.6474340497620318e-05,2.647434049835029e-05,2.647434049762032e-05,1.0,0.06,20.0,1.0,9.718305179868596e-15,1.0773928007720928e-14,9.749418535633576e-15,1.0,0.08,40.0,1.0,0.00015867774670721114,0.00033047781290265163,0.00019791146764706614,1.0,0.08,6.0,1.0,0.016678931131115682,0.03182396459925059,0.020532628126317787,1.0,0.12
00_normal_p2l_v2:0013,00_normal_p2l_v2,22.58999999999999,22.989999999999988,20.0,1.0,2.647434049773828e-05,2.647434049835029e-05,2.6474340497738282e-05,1.0,0.06,20.0,1.0,1.115214884658551e-14,1.232215583817633e-14,1.1186658526446076e-14,1.0,0.08,40.0,1.0,0.00017917854183295735,0.00034523153161364236,0.00022142906740633898,1.0,0.08,6.0,1.0,0.01352372410208548,0.024313658163408844,0.015969645588715903,1.0,0.12
00_normal_p2l_v2:0014,00_normal_p2l_v2,22.78999999999999,23.189999999999987,20.0,1.0,2.647434049753705e-05,2.647434049835029e-05,2.6474340497537054e-05,1.0,0.06,20.0,1.0,1.2784189109431052e-14,1.4146646157137094e-14,1.2823662524220175e-14,1.0,0.08,40.0,1.0,0.0001611327423597045,0.00032274882981813053,0.00019931027346235718,1.0,0.08,6.0,1.0,0.012441819289691514,0.021144606778597835,0.014711430747038741,1.0,0.12
00_normal_p2l_v2:0015,00_normal_p2l_v2,22.989999999999988,23.389999999999986,20.0,1.0,0.007858282442754055,0.027738680501780286,0.01460833406620312,1.0,0.06,20.0,1.0,1.6002953934138785e-14,2.1056926688965747e-14,1.6307204537312228e-14,1.0,0.08,40.0,1.0,0.00014560788351973764,0.00031896246127851793,0.0001874164740053846,1.0,0.08,6.0,1.0,0.021780773301839182,0.04570916352961052,0.02949117986722227,1.0,0.12
00_normal_p2l_v2:0016,00_normal_p2l_v2,23.189999999999987,23.589999999999986,20.0,1.0,0.008272226750070184,0.027738680501780286,0.014692310774417594,1.0,0.06,20.0,1.0,2.2398288206318426e-14,2.775993453192937e-14,2.2876128647101268e-14,1.0,0.08,40.0,1.0,0.00016109155805754482,0.0003142667843636524,0.0002037898540067305,1.0,0.08,6.0,1.0,0.02745392903696306,0.04941958280239951,0.03334948868231809,1.0,0.12
00_normal_p2l_v2:0017,00_normal_p2l_v2,23.389999999999986,23.789999999999985,20.0,1.0,0.0004457106475686673,0.0001700332552986258,0.0015689514995407521,1.0,0.06,20.0,1.0,2.923644768757638e-14,3.361931730836454e-14,2.941419247701001e-14,1.0,0.08,40.0,1.0,0.0001674876258636911,0.00033666619400969834,0.00020812650067244883,1.0,0.08,6.0,1.0,0.017219678542864037,0.029287682571716267,0.020656827087319484,1.0,0.12
00_normal_p2l_v2:0018,00_normal_p2l_v2,23.589999999999986,23.989999999999984,20.0,1.0,3.7058340196530204e-05,3.705834039690603e-05,3.7058340196530204e-05,1.0,0.06,20.0,1.0,3.5417109218686744e-14,4.073622499923056e-14,3.5633234200690796e-14,1.0,0.08,40.0,1.0,0.00015238815611336013,0.0003373522560740768,0.0001921838839420826,1.0,0.08,6.0,1.0,0.01789075598829251,0.03511941991995937,0.02328535077655825,1.0,0.12
00_normal_p2l_v2:0019,00_normal_p2l_v2,23.789999999999985,24.189999999999984,20.0,1.0,3.705834039195721e-05,3.705834039735567e-05,3.705834039195721e-05,1.0,0.06,20.0,1.0,4.292892117540695e-14,4.939468955628646e-14,4.319210021395323e-14,1.0,0.08,40.0,1.0,0.00013924458707610562,0.0003181154968907837,0.00017803057753669997,1.0,0.08,6.0,1.0,0.028726369214085806,0.055712317897578856,0.0364090809651883,1.0,0.12
