window_id,run_id,window_start_sec,window_end_sec,wheel_lidar_vx_residual_mean,wheel_lidar_vx_residual_abs_mean,wheel_lidar_vx_residual_abs_max,wheel_lidar_vx_residual_std,wheel_lidar_vx_residual_persistence,wheel_lidar_vx_normalized_residual_mean,wheel_lidar_vx_normalized_residual_abs_mean,wheel_lidar_vx_normalized_residual_abs_max,wheel_lidar_vx_normalized_residual_std,wheel_lidar_vx_normalized_residual_persistence,wheel_imu_yaw_residual_mean,wheel_imu_yaw_residual_abs_mean,wheel_imu_yaw_residual_abs_max,wheel_imu_yaw_residual_std,wheel_imu_yaw_residual_persistence,wheel_lidar_yaw_residual_mean,wheel_lidar_yaw_residual_abs_mean,wheel_lidar_yaw_residual_abs_max,wheel_lidar_yaw_residual_std,wheel_lidar_yaw_residual_persistence,imu_lidar_yaw_residual_mean,imu_lidar_yaw_residual_abs_mean,imu_lidar_yaw_residual_abs_max,imu_lidar_yaw_residual_std,imu_lidar_yaw_residual_persistence,wheel_vx_abs_mean,wheel_yaw_rate_abs_mean,imu_yaw_rate_abs_mean,lidar_vx_abs_mean,lidar_yaw_rate_abs_mean,imu_horizontal_accel_rms,imu_horizontal_accel_std,imu_horizontal_accel_mad,imu_roll_pitch_gyro_energy,icp_valid_fraction,icp_rmse_mean,icp_rmse_max,icp_rmse_std,icp_inlier_ratio_mean,icp_inlier_ratio_min,icp_inlier_ratio_std,icp_observability_mean,icp_observability_min,icp_observability_std,wheel_translation_reliable,wheel_rotation_reliable,imu_yaw_rate_reliable,lidar_translation_reliable
00_normal_v2:0000,00_normal_v2,38.859,39.259,0.2566188039774187,0.2566188039774187,0.3391421633034842,0.1131186438330913,0.8333333333333334,1.8443099817989834,1.8443099817989834,3.5834158851969242,1.0170040670610359,0.16666666666666666,-4.568256946244732e-05,0.0001835728823509246,0.0005289952020521171,0.00021354224811207374,0.0,-0.0005529024341468721,0.000666926689277781,0.001357256828609444,0.000567553206539447,0.0,-0.0004695603967023938,0.0005435302904909936,0.0013305687819296604,0.0005352176487812026,0.0,0.2974999999805432,3.3644173012211915e-16,0.00017772613992048672,0.03699891872639226,0.0006669266892774139,2.373879777936513,2.1556426900760295,0.005936064601701261,9.151076814735156e-08,1.0,0.008435948399415957,0.010541978134219908,0.002409135623782396,0.9333333333333332,0.8777777777777778,0.04958676977405884,0.5606596304487909,0.5399814162633556,0.014339311588778441,0,1,1,0
00_normal_v2:0001,00_normal_v2,39.059000000000005,39.459,0.2979047560627449,0.2979047560627449,0.30583734830438025,0.004958005114851441,1.0,1.8750942992751642,1.8750942992751642,2.13869550047415,0.13965880821857365,0.0,2.879528227078934e-05,0.00016158575860332193,0.0006321422527150345,0.00021096606168925956,0.0,-0.0003698462211161097,0.0007994383943282758,0.0015713489464789746,0.0008516712207282943,0.0,-0.00030980531694801733,0.0007150698151938474,0.001457700768146144,0.000805785419331623,0.0,0.3499999999903247,1.7792035651044179e-16,0.00014828100930056273,0.05209524392757986,0.0007994383943278311,0.013128724471578021,0.006311529408352233,0.004665852819111556,9.104086170922673e-08,1.0,0.00999781670819206,0.010610036841538101,0.0006407278793317266,0.8879629629629631,0.8555555555555555,0.01709831973390686,0.5477864157307594,0.5399814162633556,0.007828723777299252,1,1,1,0
00_normal_v2:0002,00_normal_v2,39.25900000000001,39.659000000000006,0.30117687653355274,0.30117687653355274,0.31172720100457624,0.007080219375056552,1.0,1.8955287122998683,1.8955287122998683,2.13869550047415,0.1530682972997201,0.0,4.271266617318964e-05,0.0001732740398590923,0.0006321422527150345,0.0002277050176704998,0.0,-0.0005460770652653731,0.0008616449833466302,0.0015713489464789746,0.000783200960058532,0.0,-0.000515143111572951,0.0008464377160301812,0.001457700768146144,0.0008143328072782786,0.0,0.3499999999903339,3.5584071302088357e-16,0.0001772976617303604,0.04882312345677983,0.0008616449833471641,0.01508308665160857,0.007171875733338602,0.004377403726786526,7.125579341234496e-08,1.0,0.010003752385253584,0.010610036841538101,0.0006589932904782441,0.8944444444444445,0.8555555555555555,0.020030840419244418,0.5359578716386177,0.5128372049444958,0.014647063722657309,1,1,1,0
00_normal_v2:0003,00_normal_v2,39.45900000000001,39.85900000000001,0.3071081404039306,0.3071081404039306,0.31730038764509116,0.0068257785530196,1.0,1.9628721430617861,1.9628721430617861,2.239561395295708,0.1591035021941489,0.0,1.553332505033304e-06,0.0001476829507620378,0.0003465149197942727,0.0001783201005742274,0.0,-0.0003849813929945472,0.0005094508010680299,0.0010791148055206844,0.0004811590729742756,0.0,-0.00040807355844389633,0.0005384478298392376,0.0010876995689597397,0.0005368253940243532,0.0,0.34999999999034503,3.5584071302088357e-16,0.00017136271313269644,0.04289185958641312,0.0005094508010685636,0.015265981756327065,0.007485820335907484,0.004172586593160266,7.561266266495858e-08,1.0,0.009833264219387695,0.010493735195457462,0.0006270507945931801,0.9037037037037038,0.8777777777777778,0.016563466499998472,0.5092815976095706,0.47879767764928344,0.019363374090178194,1,1,1,0
00_normal_v2:0004,00_normal_v2,39.65900000000001,40.05900000000001,0.3058428673723109,0.3058428673723109,0.31730038764509116,0.006845519981305222,1.0,1.9403402261329088,1.9403402261329088,2.239561395295708,0.1516636543044276,0.0,-2.3775243227205038e-05,0.0001290596301405761,0.00040290756051428666,0.0001611750760463106,0.0,-0.00019282846541427378,0.00040320251835005105,0.0007745603050502467,0.00043107661567908716,0.0,-0.0001502622350756978,0.00047225400293406827,0.000901129969168314,0.0005188137127400778,0.0,0.3499999999903469,0.0,0.00015633990295253292,0.044157132618036,0.00040320251835005105,0.014980743750104322,0.006885648714294471,0.0046795656116115055,9.151771560313636e-08,1.0,0.009910016964337203,0.010493735195457462,0.0005992096970589403,0.9046296296296297,0.8777777777777778,0.01338595582851942,0.4977755370864932,0.47879767764928344,0.010349839182878769,1,1,1,0
00_normal_v2:0005,00_normal_v2,39.859000000000016,40.259000000000015,0.3072925565578483,0.3072925565578483,0.3179519432531377,0.006297012932764134,1.0,1.9848580605372375,1.9848580605372375,2.1849958686855557,0.13119610408308557,0.0,-5.3801360237748637e-05,0.0001164089752660085,0.00040290756051428666,0.00014281638940567953,0.0,-0.00044489690291466157,0.000530801547776956,0.0011881650527198401,0.00046928213400211844,0.0,-0.0004214625407432239,0.000613080037206253,0.0012574204242857855,0.0005997278187619732,0.0,0.3499999999903247,0.0,0.00013472098189238382,0.04270744343247643,0.000530801547776956,0.014864591753161932,0.0069718094762546545,0.0033594391137619284,8.134454430396561e-08,1.0,0.009702894687704036,0.010402894209626364,0.0005237325672875735,0.8953703703703703,0.8611111111111112,0.015849298859836734,0.5005600449895325,0.48829099030158957,0.007710861289786718,1,1,1,0
00_normal_v2:0006,00_normal_v2,40.05900000000002,40.45900000000002,0.31137990514128927,0.31137990514128927,0.3191135072728491,0.006084854558120191,1.0,2.099190681920903,2.099190681920903,2.2641069386086605,0.1337519730002317,0.0,4.09325586746543e-05,0.00013877890632132508,0.0003317057992266352,0.00016960798489300586,0.0,-0.00046431188285939493,0.0007163288213721625,0.0015327006152292386,0.0007239880811902733,0.0,-0.0005435038547766436,0.0007315584503432619,0.0014734022296161852,0.0006630050806539834,0.0,0.3499999999903028,0.0,0.0001350870916921612,0.038620094849013506,0.0007163288213721625,0.015321640876819089,0.0071950719759927804,0.0038588156070516032,9.905045845346681e-08,1.0,0.00924830403142905,0.010377298217369426,0.0005209614184625193,0.8880952380952383,0.8611111111111112,0.014063527894182021,0.501324618422046,0.48829099030158957,0.007686605843665703,1,1,1,0
00_normal_v2:0007,00_normal_v2,40.25900000000002,40.65900000000002,0.3143732806985523,0.3143732806985523,0.32172857852836806,0.007032875183108637,1.0,2.1677665012433,2.1677665012433,2.333615165659199,0.15895413810716044,0.0,4.4597757533803684e-05,0.00013682531297511973,0.0003317057992266352,0.00016661556816386668,0.0,-0.0003801387889380259,0.0006321557274507934,0.0015327006152292386,0.0006654992005237149,0.0,-0.0003779454249264671,0.0005924170306887041,0.0014734022296161852,0.0006067733149781952,0.0,0.3499999999903028,0.0,0.0001650247396447959,0.03562671929175044,0.0006321557274507934,0.016031303766067838,0.00786596900848785,0.006212386313613852,1.228022605131891e-07,1.0,0.00902731236319314,0.010377298217369426,0.0006227883959826137,0.8857142857142856,0.8722222222222222,0.010225475179940584,0.4976834630415236,0.48197650534093556,0.008894003518733389,1,1,1,0
00_normal_v2:0008,00_normal_v2,40.459000000000024,40.85900000000002,0.31678776469330416,0.31678776469330416,0.32172857852836806,0.004393967491405236,1.0,2.2382558984894936,2.2382558984894936,2.3479491718041867,0.12741107510318567,0.0,-2.25872888525201e-05,9.24466605122046e-05,0.0003740679072023257,0.00012161676679299699,0.0,-0.00028589059842548794,0.0004072865154150698,0.0006156153316386288,0.00033819358942113834,0.0,-0.00024316582550801472,0.00036775236171560045,0.0006125368338497154,0.0003306792071409326,0.0,0.3499999999903025,0.0,0.0001383199100948543,0.03321223529699832,0.0004072865154150698,0.014740273774194219,0.006972579454806131,0.005519926121979289,8.012696684040135e-08,1.0,0.008766521393260297,0.009719281290986578,0.000526847212039583,0.8787037037037037,0.8722222222222222,0.003817690394090413,0.49494739248195535,0.48197650534093556,0.007209544721340222,1,1,1,0
00_normal_v2:0009,00_normal_v2,40.65900000000003,41.059000000000026,0.27247984642649187,0.27247984642649187,0.3203817224866457,0.059932553341704574,1.0,1.7301126738983197,1.7301126738983197,2.3479491718041867,0.646754268831133,0.0,0.01354780942308278,0.013662149450466926,0.109874420027415,0.0325280504002532,0.1,0.07284880483443766,0.07316690999194013,0.2202237624357428,0.10323587952812428,0.3333333333333333,0.06243584678369072,0.06279172357839234,0.20335449004655065,0.0890359003981348,0.3333333333333333,0.32074999999503895,0.04949999997841616,0.03842489033349193,0.03534704324526521,0.0006805118761804716,0.837128308003607,0.8025019921371092,0.007166637361057753,6.51370161260089e-08,1.0,0.011042446159453427,0.019709377266513492,0.003967179644718849,0.8925925925925927,0.8722222222222222,0.03328185325113228,0.5048623551772903,0.4909077626590924,0.007854983850031697,1,1,1,0
