target,rank,feature,importance
wheel_rotation_reliable,28,lidar_vx_abs_mean,0.002538686275197227
wheel_rotation_reliable,29,wheel_lidar_vx_normalized_residual_mean,0.0023191000620670314
wheel_rotation_reliable,30,wheel_lidar_vx_residual_abs_max,0.0022949667755602044
wheel_rotation_reliable,31,imu_roll_pitch_gyro_energy,0.002107959487726728
wheel_rotation_reliable,32,wheel_lidar_vx_normalized_residual_std,0.0019523988318734774
wheel_rotation_reliable,33,icp_rmse_std,0.0019288012615564887
wheel_rotation_reliable,34,icp_inlier_ratio_std,0.001812559732405162
wheel_rotation_reliable,35,icp_rmse_mean,0.0017325256549836838
wheel_rotation_reliable,36,wheel_lidar_vx_residual_std,0.0015050594201020352
wheel_rotation_reliable,37,wheel_vx_abs_mean,0.001289964786873794
wheel_rotation_reliable,38,wheel_lidar_vx_residual_abs_mean,0.001186221656363843
wheel_rotation_reliable,39,icp_rmse_max,0.001034056855429846
wheel_rotation_reliable,40,wheel_lidar_vx_normalized_residual_abs_mean,0.000986448165270539
wheel_rotation_reliable,41,imu_lidar_yaw_residual_persistence,0.00032269488288682674
wheel_rotation_reliable,42,wheel_lidar_vx_residual_persistence,0.00024205964419800465
wheel_rotation_reliable,43,wheel_lidar_vx_normalized_residual_persistence,1.1835602578370992e-17
wheel_rotation_reliable,44,icp_valid_fraction,0.0
imu_yaw_rate_reliable,1,imu_lidar_yaw_residual_abs_max,0.14425731342869447
imu_yaw_rate_reliable,2,imu_lidar_yaw_residual_abs_mean,0.12467075796161249
imu_yaw_rate_reliable,3,imu_lidar_yaw_residual_mean,0.12320807263326128
imu_yaw_rate_reliable,4,imu_lidar_yaw_residual_std,0.11140077212793355
imu_yaw_rate_reliable,5,imu_lidar_yaw_residual_persistence,0.07625475066882376
imu_yaw_rate_reliable,6,wheel_lidar_yaw_residual_mean,0.06973514921563215
imu_yaw_rate_reliable,7,wheel_lidar_yaw_residual_std,0.0535764782838972
imu_yaw_rate_reliable,8,icp_observability_min,0.040574835307188986
imu_yaw_rate_reliable,9,wheel_lidar_yaw_residual_abs_mean,0.0367627544644928
imu_yaw_rate_reliable,10,wheel_lidar_yaw_residual_abs_max,0.036270359784885964
imu_yaw_rate_reliable,11,icp_observability_mean,0.03140730652278927
imu_yaw_rate_reliable,12,wheel_imu_yaw_residual_std,0.02581822382792536
imu_yaw_rate_reliable,13,wheel_imu_yaw_residual_persistence,0.019020665767158242
imu_yaw_rate_reliable,14,wheel_imu_yaw_residual_abs_max,0.016976278699933657
imu_yaw_rate_reliable,15,wheel_imu_yaw_residual_mean,0.016356552663676915
imu_yaw_rate_reliable,16,wheel_lidar_yaw_residual_persistence,0.014867280774860662
imu_yaw_rate_reliable,17,imu_horizontal_accel_std,0.00837330564752385
imu_yaw_rate_reliable,18,wheel_imu_yaw_residual_abs_mean,0.006389851596927843
imu_yaw_rate_reliable,19,imu_horizontal_accel_rms,0.006225202046640862
imu_yaw_rate_reliable,20,wheel_lidar_vx_residual_abs_max,0.005166658416924494
imu_yaw_rate_reliable,21,lidar_yaw_rate_abs_mean,0.0044497554757389
imu_yaw_rate_reliable,22,wheel_lidar_vx_normalized_residual_abs_max,0.004327823468422229
imu_yaw_rate_reliable,23,wheel_lidar_vx_residual_abs_mean,0.00416388673704701
imu_yaw_rate_reliable,24,imu_yaw_rate_abs_mean,0.004053057999759403
imu_yaw_rate_reliable,25,wheel_lidar_vx_normalized_residual_abs_mean,0.003946977636813974
imu_yaw_rate_reliable,26,wheel_yaw_rate_abs_mean,0.002199256563880382
imu_yaw_rate_reliable,27,wheel_vx_abs_mean,0.001506160121100151
imu_yaw_rate_reliable,28,icp_rmse_max,0.001124818334558733
imu_yaw_rate_reliable,29,lidar_vx_abs_mean,0.0010282722058010299
imu_yaw_rate_reliable,30,wheel_lidar_vx_normalized_residual_std,0.0009863617052330883
imu_yaw_rate_reliable,31,imu_horizontal_accel_mad,0.0009022466546943624
imu_yaw_rate_reliable,32,icp_inlier_ratio_std,0.0007354822464338056
imu_yaw_rate_reliable,33,wheel_lidar_vx_residual_persistence,0.0007174960710460724
imu_yaw_rate_reliable,34,icp_rmse_mean,0.0006744886039079887
imu_yaw_rate_reliable,35,wheel_lidar_vx_normalized_residual_mean,0.0006093861484827133
imu_yaw_rate_reliable,36,wheel_lidar_vx_residual_std,0.00041823906205177
imu_yaw_rate_reliable,37,icp_inlier_ratio_min,0.00022857706038031784
imu_yaw_rate_reliable,38,icp_rmse_std,0.00021741959312305138
imu_yaw_rate_reliable,39,imu_roll_pitch_gyro_energy,0.00017772771849435337
imu_yaw_rate_reliable,40,wheel_lidar_vx_residual_mean,0.00014510757043858827
imu_yaw_rate_reliable,41,icp_inlier_ratio_mean,7.454862382287794e-05
imu_yaw_rate_reliable,42,icp_observability_std,3.4055798546406804e-07
imu_yaw_rate_reliable,43,wheel_lidar_vx_normalized_residual_persistence,7.120495952335078e-17
imu_yaw_rate_reliable,44,icp_valid_fraction,0.0
